date,fuel,nat_avg,nat_min,nat_max,n_stations
2020-12-14,benzina,1.4125,,,
2020-12-14,gpl,0.6096,,,
2020-12-21,diesel,1.3043,,,
2020-12-21,benzina,1.4276,,,
2020-12-21,gpl,0.6167,,,
2021-01-11,diesel,1.3250,,,
2021-01-11,benzina,1.4501,,,
2021-01-11,gpl,0.6289,,,
2021-01-18,diesel,1.3395,,,
2021-01-18,benzina,1.4660,,,
2021-01-18,gpl,0.6332,,,
2021-01-25,diesel,1.3465,,,
2021-01-25,benzina,1.4762,,,
2021-01-25,gpl,0.6361,,,
2021-02-01,diesel,1.3506,,,
2021-02-01,benzina,1.4800,,,
2021-02-01,gpl,0.6371,,,
2021-02-08,diesel,1.3607,,,
2021-02-08,benzina,1.4889,,,
2021-02-08,gpl,0.6404,,,
2021-02-15,diesel,1.3729,,,
2021-02-15,benzina,1.5004,,,
2021-02-15,gpl,0.6418,,,
2021-02-22,diesel,1.3909,,,
2021-02-22,benzina,1.5185,,,
2021-02-22,gpl,0.6454,,,
2021-03-01,diesel,1.4084,,,
2021-03-01,benzina,1.5366,,,
2021-03-01,gpl,0.6489,,,
2021-03-08,diesel,1.4212,,,
2021-03-08,benzina,1.5497,,,
2021-03-08,gpl,0.6543,,,
2021-03-15,diesel,1.4361,,,
2021-03-15,benzina,1.5662,,,
2021-03-15,gpl,0.6584,,,
2021-03-22,diesel,1.4450,,,
2021-03-22,benzina,1.5788,,,
2021-03-22,gpl,0.6605,,,
2021-03-29,diesel,1.4403,,,
2021-03-29,benzina,1.5753,,,
2021-03-29,gpl,0.6628,,,
2021-04-12,diesel,1.4352,,,
2021-04-12,benzina,1.5735,,,
2021-04-12,gpl,0.6636,,,
2021-04-19,diesel,1.4357,,,
2021-04-19,benzina,1.5745,,,
2021-04-19,gpl,0.6629,,,
2021-04-26,diesel,1.4376,,,
2021-04-26,benzina,1.5770,,,
2021-04-26,gpl,0.6632,,,
2021-05-03,diesel,1.4388,,,
2021-05-03,benzina,1.5789,,,
2021-05-03,gpl,0.6649,,,
2021-05-10,diesel,1.4472,,,
2021-05-10,benzina,1.5878,,,
2021-05-10,gpl,0.6647,,,
2021-05-17,diesel,1.4526,,,
2021-05-17,benzina,1.5931,,,
2021-05-17,gpl,0.6649,,,
2021-05-24,diesel,1.4513,,,
2021-05-24,benzina,1.5924,,,
2021-05-24,gpl,0.6617,,,
2021-05-31,diesel,1.4480,,,
2021-05-31,benzina,1.5900,,,
2021-05-31,gpl,0.6615,,,
2021-06-07,diesel,1.4576,,,
2021-06-07,benzina,1.5990,,,
2021-06-07,gpl,0.6624,,,
2021-06-14,diesel,1.4648,,,
2021-06-14,benzina,1.6055,,,
2021-06-14,gpl,0.6642,,,
2021-06-21,diesel,1.4742,,,
2021-06-21,benzina,1.6145,,,
2021-06-21,gpl,0.6665,,,
2021-06-28,diesel,1.4858,,,
2021-06-28,benzina,1.6246,,,
2021-06-28,gpl,0.6668,,,
2021-07-05,diesel,1.4945,,,
2021-07-05,benzina,1.6343,,,
2021-07-05,gpl,0.6704,,,
2021-07-12,diesel,1.5079,,,
2021-07-12,benzina,1.6496,,,
2021-07-12,gpl,0.6740,,,
2021-07-19,diesel,1.5128,,,
2021-07-19,benzina,1.6553,,,
2021-07-19,gpl,0.6836,,,
2021-07-26,diesel,1.5106,,,
2021-07-26,benzina,1.6536,,,
2021-07-26,gpl,0.6858,,,
2021-08-02,diesel,1.5102,,,
2021-08-02,benzina,1.6555,,,
2021-08-02,gpl,0.6860,,,
2021-08-09,diesel,1.5100,,,
2021-08-09,benzina,1.6574,,,
2021-08-09,gpl,0.6923,,,
